;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"05-03 23";0,7202919;-0,1024909;-0,2388632;0,4886073;-0,9597079;-0,1486008;0,2312798;-0,0742314;1,088378;0,8494423
"06-03 00";0,4856984;0,2303225;-0,09141175;0,5066614;-0,9122373;-0,1486008;0,2386652;0,05343097;0,888667;0,9282733
"06-03 01";0,3282415;0,2285845;-0,1756742;0,3001979;-0,9429954;-0,1486008;0,107372;0,05754818;0,8395338;1,004896
"06-03 02";0,7903969;0,2171266;-0,1342087;0,3195052;-0,8335581;-0,1486008;-0,05705492;0,00917301;0,5764297;0,9337506
"06-03 03";1,143466;0,02887358;-0,1311706;-0,001873218;-0,6543395;-0,1486008;-0,05378858;-0,1431018;0,3366835;0,8584978
"06-03 04";1,148401;-0,6804919;-0,4895337;-0,1827366;-0,8129562;-0,1486008;-0,5645739;-0,3180364;0,3091117;0,7377181
"06-03 05";1,029529;-1,098884;-0,7565709;-0,2129274;-0,9692028;-0,1486008;-1,129941;-0,2822972;0,28381;0,6042346
"06-03 06";0,8892487;-1,486789;-0,996306;-0,3337122;-0,5914934;-0,1486008;-1,454259;-0,2780066;0,3392573;0,492658
"06-03 07";0,5627603;-1,757078;-1,135297;-0,5445952;-0,7008699;-0,1486008;-1,635375;-0,231165;0,2529615;0,409271
"06-03 08";0,3848093;-1,666225;-1,148594;-0,8477691;-0,01900398;-0,1486008;-1,661931;-0,1211261;0,1032746;0,3197348
"06-03 09";0,03886839;-1,248589;-0,8545282;-0,4655617;0,5680315;-0,1486008;-1,259344;0,01817445;0,235807;0,55675
"06-03 10";-0,4952571;-0,7132598;-0,5397774;-0,6775562;0,5676383;-0,1486008;-0,8268732;0,08780015;0,2453803;0,1995549
"06-03 11";-0,7054898;-0,04312767;-0,2769774;-0,6166552;0,76264;-0,1486008;-0,4902262;0,1325915;0,2616886;0,1017323
"06-03 12";-0,8542145;0,4662898;-0,1043953;-0,5600487;1,6203;-0,1486008;-0,247825;0,09865305;0,2493491;-0,1403549
"06-03 13";-0,7060471;0,7345553;0,1222203;-0,2673541;1,291191;-0,1486008;0,06849888;0,02150754;0,1606606;-0,3435976
"06-03 14";-0,3402099;0,6284818;0,1139;-0,03887917;1,425027;-0,1486008;0,2950312;-0,1029704;-0,01943251;-0,3729997
"06-03 15";-0,04735998;0,354304;0,03195587;0,4234639;1,289461;-0,1486008;0,1735189;-0,1930604;0,1715548;-0,6146341
"06-03 16";0,2298963;0,1523741;-0,1734954;0,9955232;0,6744552;-0,1486008;-0,1169576;-0,195564;0,2974412;-0,8097196
"06-03 17";0,3331213;-0,263135;-0,24564;0,7974879;1,159564;-0,1486008;0,005508888;-0,2580902;0,5397758;-0,4966869
"06-03 18";0,4804677;-0,7325752;-0,5641806;0,8544279;0,7333905;-0,1486008;-0,4750284;-0,2850934;0,734403;-0,33152
