RIS-QI01_TT;IPU-FB18;SAN3-FB01;ANL1-QI02;ANL1-QI01;SAN3-ML01;POL_FT04;IPU_LT01;SED5-QI11;SED5-QI01
8,454489708;2960,245002;521,6230409;320,462886;8,094244648;31,89999962;3,10629194;2,368265393;24,2305641;11,3250223
8,454108238;2947,102949;525,1973778;318,2738092;8,087174786;31,89999962;3,157612869;2,364224147;24,2305641;11,29090272
8,454108238;2950,625862;532,9408753;313,1486027;8,082920646;31,89999962;3,171413502;2,36190828;24,2305641;10,85612353
8,454108238;2940,28851;532,560891;308,6000484;8,076472884;31,89999962;3,265880353;2,364496811;24,2305641;11,1758365
8,454108238;2961,101289;533,8049503;304,8534703;8,077629276;31,89999962;3,225387365;2,363206923;24,12267298;11,05049772
8,454108238;2931,623875;530,5739512;300,0033814;8,076198105;31,89999962;3,088831545;2,357044151;24,093996;10,97701039
8,454108238;2932,629644;525,3056022;293,3862821;8,073847786;31,89999962;3,191740726;2,348797525;24,093996;10,23838692
8,453726387;2938,543374;519,2670416;291,0479755;8,069408183;31,89999962;3,140338978;2,337339919;24,093996;10,27158761
8,453725243;2916,803831;513,4360555;289,2476773;8,069451229;31,89999962;3,077734188;2,326832875;24,093996;10,14377254
8,454108238;2896,371488;505,1772742;284,499255;8,065282371;31,89999962;3,023551514;2,316592824;24,093996;9,948640452
8,454108238;2893,066447;497,6843088;284,261746;8,06511277;31,89999962;3,004620382;2,310683281;24,093996;10,19354503
8,453725433;2860,680426;494,7571817;286,7481737;8,065969476;31,89999962;2,953055911;2,314800807;24,093996;9,805702901
8,454108238;2858,651723;493,5535465;288,7856951;8,069299618;31,89999962;3,042397105;2,319456357;24,093996;10,01373857
8,454108238;2871,657809;493,7308879;286,9751375;8,072051798;31,89999962;2,945745166;2,323673107;24,093996;10,40381118
8,454108238;2849,239951;494,2421752;286,3807504;8,076261562;31,89999962;2,964928817;2,32444291;24,34107731;10,51743008
8,454108238;2852,034685;495,2910169;291,0053984;8,076605062;31,89999962;2,995129715;2,326998368;24,3854427;10,32303041
8,454108238;2855,863138;501,1920994;299,3213632;8,078136366;31,89999962;3,053908386;2,330223028;24,3854427;10,47033736
8,454108238;2874,262123;504,0635447;303,0747423;8,080105723;31,89999962;3,005204171;2,338194764;24,3854427;10,67059438
8,454108238;2858,994668;510,6482817;307,8930893;8,075756144;31,89999962;3,055307785;2,345519497;24,3854427;10,20980407
8,454108238;2878,534442;512,8443175;314,425445;8,070349031;31,89999962;3,109791999;2,348917721;24,3854427;10,42679009
8,454108238;2874,010389;517,6767794;319,9322766;8,063878842;31,89999962;3,044017616;2,354903783;24,3854427;9,9361886
8,45372715;2885,378469;525,8716928;327,7588519;8,061694459;31,89999962;3,085623439;2,360190995;24,3854427;10,0585768
8,454108238;2872,45462;531,7242144;334,2993662;8,058301441;31,89999962;3,228451629;2,360205247;24,3854427;10,4212028
8,454108238;2873,34704;533,4402618;346,7861651;8,049991079;31,89999962;3,168965175;2,35512965;24,3854427;10,1754998
8,454870224;2850,615652;538,1646087;348,0938862;8,041608264;31,89999962;3,197578063;2,34694028;24,45639687;10,05853659
8,454874992;2847,477896;537,2179694;353,3777946;8,03311821;31,89999962;3,214272601;2,341119682;24,4762344;9,905473246
8,457618104;2856,385237;535,161224;358,0225479;8,025913755;31,89999962;3,21364607;2,334314225;24,4762344;9,855254541
8,469852059;2828,314575;529,6255115;361,2589835;8,019300151;31,89999962;3,142302072;2,331095682;24,4762344;9,761832293
8,481735229;2824,125196;524,1753439;367,8190501;8,014707332;31,89999962;3,185608092;2,324096872;24,4762344;9,594307667
8,487983704;2810,569285;518,4787855;371,4257717;8,014986543;31,89999962;3,109689321;2,315184039;24,47359378;9,825859368
8,487983704;2798,908998;512,6902805;373,638453;8,014595178;31,89999962;3,069227501;2,302695096;24,4762344;9,913518434
8,492497932;2783,496196;507,7318863;366,135866;8,023762799;31,89999962;3,046625138;2,293886413;24,4762344;9,843496313
8,499748642;2751,23254;503,9295913;363,9033354;8,041731972;31,89999962;3,032383144;2,282908354;24,4762344;9,991559848
8,504742714;2743,104616;504,6583126;357,0760148;8,051378381;31,89999962;2,978034537;2,272424215;24,4762344;9,301120306
8,514840363;2748,256871;503,5120701;351,9217249;8,066258273;31,89999962;3,043619924;2,271357452;23,81496058;9,527552083
8,518369141;2723,413646;504,077131;348,7848269;8,080979008;31,89999962;2,986872082;2,27380079;23,59884;9,732018863
8,532952452;2728,133192;505,4744836;345,0906838;8,100751489;31,89999962;3,037475743;2,2761505;23,59884;9,810953767
8,532597959;2706,339833;503,4019028;345,7083405;8,125359918;31,89999962;3,019599103;2,274368338;23,59884;9,635167713
8,534846687;2733,014494;499,959349;341,4343338;8,146804042;31,89999962;2,964307677;2,274145709;23,59884;9,694576871
8,548605545;2712,040299;498,2415927;328,8541922;8,170312023;31,89999962;2,989522554;2,276033151;23,59884;10,19131741
8,552660446;2716,461641;491,0109548;326,5649843;8,173743546;31,89999962;3,028698085;2,278645787;23,59884;10,53412503
8,548252838;2722,204147;483,8934503;326,4231529;8,166923983;31,89999962;2,907795475;2,279581441;23,59884;10,04646619
8,547724831;2690,000029;478,1115905;327,3785711;8,157544108;31,89999962;2,864651469;2,279725662;23,59884;10,11682302
