;"RIS-QI01_TT";"IPU-FB18";"SAN3-FB01";"ANL1-QI02";"ANL1-QI01";"SAN3-ML01";"POL_FT04";"IPU_LT01";"SED5-QI11";"SED5-QI01"
"20.02.2023";-0,7475982;-0,651836;-0,776222;-0,8386791;-0,8851295;-0,7048571;-0,8533071;-0,8033322;-0,7261989;-0,9864019
"20.02.2023";-0,7255769;-0,6334848;-0,7361304;-0,8070315;-0,8569983;-0,6773954;-0,8114434;-0,783065;-0,7160196;-0,9564083
"20.02.2023";-0,6230944;-0,5480828;-0,6144558;-0,6970194;-0,7593621;-0,5789096;-0,7164693;-0,717272;-0,661039;-0,8755425
"20.02.2023";-0,5347801;-0,4744876;-0,49369;-0,589909;-0,6635159;-0,4876998;-0,6195967;-0,6568802;-0,6090936;-0,7955425
"20.02.2023";-0,4360291;-0,392195;-0,3762426;-0,4865789;-0,5714465;-0,4084811;-0,5439362;-0,6230513;-0,5803158;-0,7425563
"20.02.2023";-0,3472069;-0,3181766;-0,2504656;-0,3820725;-0,4785519;-0,3220384;-0,4446594;-0,5747159;-0,5312006;-0,6707754
"20.02.2023";-0,2220885;-0,2139113;-0,01501329;-0,1813094;-0,3001026;-0,1434697;-0,2180119;-0,4394643;-0,3743797;-0,4692715
"20.02.2023";-0,2489111;-0,2362634;0,01572176;-0,1595384;-0,2807506;-0,1190573;-0,1734266;-0,4027248;-0,3206023;-0,3933936
"20.02.2023";-0,4778506;-0,4270464;-0,2567048;-0,4025657;-0,4966435;-0,3531085;-0,4256658;-0,5565768;-0,4880263;-0,5802389
"20.02.2023";-0,6878762;-0,6020676;-0,5493669;-0,6612509;-0,7267105;-0,590953;-0,6616377;-0,722246;-0,671832;-0,7906306
"20.02.2023";-0,7914637;-0,6883905;-0,6850864;-0,7805986;-0,8327379;-0,6849472;-0,7557163;-0,7802701;-0,7260368;-0,8530117
"20.02.2023";-0,84958;-0,7368209;-0,7681989;-0,852432;-0,8965839;-0,7571477;-0,8330007;-0,8336333;-0,7821801;-0,9209411
"20.02.2023";-0,8774622;-0,760056;-0,8053456;-0,8806695;-0,921998;-0,800415;-0,8874395;-0,8767661;-0,821247;-0,9696466
"20.02.2023";-0,869419;-0,7533534;-0,8163515;-0,8858263;-0,927336;-0,8103143;-0,9045175;-0,8966427;-0,8378667;-0,9937519
"20.02.2023";-0,7714632;-0,6717234;-0,7381721;-0,8157178;-0,8665589;-0,7467864;-0,8711455;-0,8758186;-0,8122576;-0,9745108
"20.02.2023";-0,7448161;-0,6495175;-0,6817949;-0,7629653;-0,8196677;-0,7061305;-0,8169674;-0,8400033;-0,7627559;-0,9244641
"20.02.2023";-0,6816142;-0,5968493;-0,6095292;-0,6970831;-0,7611058;-0,6539395;-0,766875;-0,8164566;-0,7347022;-0,8920542
"20.02.2023";-0,626027;-0,5505267;-0,5301142;-0,6257285;-0,6976795;-0,5956227;-0,7049998;-0,7810547;-0,6934;-0,8424914
"20.02.2023";-0,5865929;-0,5176648;-0,4689239;-0,572583;-0,6504391;-0,5408912;-0,641497;-0,7391085;-0,6444628;-0,7837669
"20.02.2023";-0,5493736;-0,4866488;-0,4163791;-0,5304738;-0,6130086;-0,4930376;-0,595512;-0,7042953;-0,6038473;-0,7350283
"20.02.2023";-0,531459;-0,47172;-0,3849215;-0,505634;-0,5909287;-0,4786826;-0,5691698;-0,6985083;-0,5970958;-0,7269265
"20.02.2023";-0,5079907;-0,4521631;-0,3027378;-0,4352149;-0,5283341;-0,4249159;-0,5066835;-0,6453531;-0,5350814;-0,6525093
"20.02.2023";-0,6302149;-0,5540165;-0,4999276;-0,6096863;-0,6834197;-0,5788243;-0,6892253;-0,7808349;-0,6991599;-0,8074899
"20.02.2023";-0,6531137;-0,5730988;-0,5278836;-0,6351767;-0,7073585;-0,6101848;-0,7065042;-0,7804317;-0,7124296;-0,837095
"20.02.2023";-0,678427;-0,5941933;-0,5710979;-0,6753184;-0,7445728;-0,6487954;-0,7430845;-0,7916695;-0,7176463;-0,8806009
"20.02.2023";-0,702459;-0,61422;-0,6145609;-0,7142326;-0,7791631;-0,688996;-0,7760274;-0,8064763;-0,7276609;-0,9238082
"20.02.2023";-0,7274106;-0,6350129;-0,6624238;-0,755823;-0,8161324;-0,7161424;-0,7971467;-0,8133992;-0,7302429;-0,9475432
"20.02.2023";-0,7314654;-0,638392;-0,6709549;-0,764745;-0,8240631;-0,7182283;-0,7968744;-0,8081841;-0,7124644;-0,9452678
"20.02.2023";-0,7403979;-0,6458357;-0,6791978;-0,7752484;-0,8333994;-0,7286311;-0,7948743;-0,809083;-0,7077274;-0,9564931
"20.02.2023";-0,7742568;-0,6740515;-0,7013487;-0,7980163;-0,8536376;-0,7638018;-0,8042197;-0,8315657;-0,7294891;-0,9817573
"20.02.2023";-0,7715672;-0,6718102;-0,6791165;-0,7798383;-0,8374792;-0,7440761;-0,7829024;-0,8223516;-0,6996652;-0,9482999
"20.02.2023";-0,7593312;-0,6616135;-0,6508741;-0,752668;-0,813328;-0,7221999;-0,7479106;-0,8013574;-0,6679516;-0,9209952
"20.02.2023";-0,7258996;-0,6337538;-0,6001291;-0,7057043;-0,7715824;-0,6847523;-0,6992092;-0,764779;-0,6282378;-0,8871847
"20.02.2023";-0,6570532;-0,5763819;-0,536525;-0,6454444;-0,7199307;-0,6321614;-0,6611875;-0,7369118;-0,5921583;-0,8613675
"20.02.2023";-0,5935388;-0,5234531;-0,4807715;-0,589857;-0,6724206;-0,5906995;-0,6220376;-0,7044113;-0,5672101;-0,8500845
"20.02.2023";-0,4929392;-0,4396201;-0,3962306;-0,5104285;-0,6017641;-0,5214128;-0,5706907;-0,6489984;-0,5415462;-0,8260512
"20.02.2023";-0,3940421;-0,3572059;-0,3341219;-0,4519058;-0,5496345;-0,4704685;-0,5282317;-0,5953417;-0,5378363;-0,8330839
"20.02.2023";-0,3582391;-0,3273701;-0,3163465;-0,4324119;-0,5322987;-0,4465388;-0,4957819;-0,5457072;-0,5329265;-0,8257304
"20.02.2023";-0,3437057;-0,3152589;-0,311419;-0,4259176;-0,5266386;-0,4410974;-0,4800845;-0,5108851;-0,5400192;-0,8307998
"20.02.2023";-0,2885375;-0,2692854;-0,3052411;-0,42099;-0,5226563;-0,4356221;-0,4878885;-0,5040203;-0,5830498;-0,8761125
"20.02.2023";-0,2964509;-0,2758799;-0,3149172;-0,4293603;-0,5295862;-0,4481421;-0,4893453;-0,4939687;-0,6047807;-0,8905698
"20.02.2023";-0,3035731;-0,281815;-0,3367822;-0,4470674;-0,5453258;-0,4639945;-0,5072737;-0,5059901;-0,6343107;-0,9121472
"20.02.2023";-0,2892016;-0,2698388;-0,3211052;-0,4296962;-0,5298848;-0,4463628;-0,4874953;-0,4806605;-0,6262901;-0,8933559
"20.02.2023";-0,2860513;-0,2672136;-0,33092;-0,4359592;-0,5327377;-0,4529966;-0,4997591;-0,4966352;-0,639479;-0,9045743
"20.02.2023";-0,2874368;-0,2683681;-0,3338332;-0,4344295;-0,5284655;-0,4446734;-0,491226;-0,4943001;-0,6219116;-0,8837726
"20.02.2023";-0,2826623;-0,2643894;-0,3104259;-0,4110633;-0,5076956;-0,4317288;-0,4754128;-0,485954;-0,6077311;-0,8627897
"20.02.2023";-0,2752764;-0,2582345;-0,2933241;-0,3977658;-0,4958756;-0,4182344;-0,4577749;-0,4799079;-0,588809;-0,8376373
"20.02.2023";-0,3190578;-0,294719;-0,3115961;-0,4169641;-0,5129407;-0,4223629;-0,4513352;-0,4850295;-0,5633054;-0,7997835
"20.02.2023";-0,3476413;-0,3185385;-0,3133948;-0,4217766;-0,5172185;-0,4475321;-0,4780383;-0,527116;-0,5817732;-0,8111969
"20.02.2023";-0,4043208;-0,3657715;-0,345822;-0,4529653;-0,5449418;-0,4809639;-0,501294;-0,5609204;-0,5872875;-0,8107526
"20.02.2023";-0,4481987;-0,4023364;-0,3744106;-0,4806461;-0,569547;-0,5103932;-0,527481;-0,5896651;-0,5917939;-0,8184908
"20.02.2023";-0,4959474;-0,442127;-0,4185236;-0,5155632;-0,6005844;-0,5396125;-0,5569194;-0,610195;-0,5916224;-0,8186251
"20.02.2023";-0,5347261;-0,4744425;-0,4762546;-0,5601259;-0,6401957;-0,5834339;-0,6139367;-0,6538137;-0,6165711;-0,8543734
"20.02.2023";-0,5610163;-0,4963511;-0,5147573;-0,5864415;-0,6716499;-0,621947;-0,6643882;-0,6837805;-0,6398135;-0,8971549
"20.02.2023";-0,5743542;-0,507466;-0,5514345;-0,6100352;-0,7018001;-0,6297771;-0,677151;-0,6757216;-0,6208524;-0,8945679
"20.02.2023";-0,5794863;-0,5117427;-0,5715053;-0,6220652;-0,7124935;-0,6518033;-0,7102454;-0,7009134;-0,6379716;-0,9301433
"20.02.2023";-0,576871;-0,5095633;-0,5870275;-0,6325768;-0,7218372;-0,6670255;-0,7291564;-0,7221395;-0,6557583;-0,9591936
"20.02.2023";-0,5504913;-0,4875803;-0,546383;-0,5969104;-0,6901337;-0,6390988;-0,7033046;-0,7044121;-0,6340464;-0,9354972
"20.02.2023";-0,5172668;-0,4598931;-0,5033406;-0,5600735;-0,6573898;-0,6079383;-0,6664463;-0,6842873;-0,6172405;-0,9116752
"20.02.2023";-0,4838691;-0,4320617;-0,4621149;-0,5245352;-0,6258002;-0,5785703;-0,6343757;-0,6685119;-0,6061632;-0,8913004
"20.02.2023";-0,4795148;-0,4284331;-0,4398161;-0,5038559;-0,6074186;-0,5600957;-0,6038665;-0,6526831;-0,5940813;-0,8649737
"20.02.2023";-0,4711503;-0,4214627;-0,4102655;-0,4763889;-0,5830035;-0,5381563;-0,5739041;-0,6345741;-0,5735621;-0,830244
"20.02.2023";-0,4446957;-0,3994173;-0,380019;-0,4513817;-0,5607749;-0,5229716;-0,5590889;-0,6311148;-0,5772321;-0,8291804
"20.02.2023";-0,4410183;-0,3963527;-0,3579294;-0,4329936;-0,5441319;-0,49829;-0,526611;-0,6018803;-0,5413013;-0,7868904
"20.02.2023";-0,4277898;-0,3853289;-0,3553649;-0,4294844;-0,540481;-0,4963125;-0,5258752;-0,6029389;-0,5422142;-0,7925677
"20.02.2023";-0,4438349;-0,3986999;-0,3424048;-0,416999;-0,5293829;-0,4941903;-0,5155824;-0,5917591;-0,524546;-0,7695546
"20.02.2023";-0,44049;-0,3959125;-0,3442352;-0,4191951;-0,5313349;-0,5050362;-0,53222;-0,612505;-0,5444927;-0,7925886
"20.02.2023";-0,454044;-0,4072075;-0,3707664;-0,4444357;-0,553771;-0,5243735;-0,5517013;-0,6294323;-0,5585896;-0,8123283
"20.02.2023";-0,5064514;-0,4508803;-0,4118311;-0,4820398;-0,5871969;-0,5550943;-0,5710909;-0,6413089;-0,5601631;-0,8170635
